Identifier,Title,ShortTitle,ValueType
GR-countind19P,2001 Census Day Population,Total Population (90+),count
GR-countind1F,2001 Census Day Population,Total Female Population (0-4),count
GR-countind1M,2001 Census Day Population,Total Male Population (0-4),count
GR-countind1P,2001 Census Day Population,Total Population (0-4),count
GR-countind2F,2001 Census Day Population,Total Female Population (5-9),count
GR-countind2M,2001 Census Day Population,Total Male Population (5-9),count
GR-countind2P,2001 Census Day Population,Total Population (5-9),count
GR-countind3F,2001 Census Day Population,Total Female Population (10-14),count
GR-countind3M,2001 Census Day Population,Total Male Population (10-14),count
GR-countind3P,2001 Census Day Population,Total Population (10-14),count
GR-countind4F,2001 Census Day Population,Total Female Population (15-19),count
GR-countind4M,2001 Census Day Population,Total Male Population (15-19),count
GR-countind4P,2001 Census Day Population,Total Population (15-19),count
GR-countind5F,2001 Census Day Population,Total Female Population (20-24),count
GR-countind5M,2001 Census Day Population,Total Male Population (20-24),count
GR-countind5P,2001 Census Day Population,Total Population (20-24),count
GR-countind6F,2001 Census Day Population,Total Female Population (25-29),count
GR-countind6M,2001 Census Day Population,Total Male Population (25-29),count
GR-countind6P,2001 Census Day Population,Total Population (25-29),count
GR-countind7F,2001 Census Day Population,Total Female Population (30-34),count
GR-countind7M,2001 Census Day Population,Total Male Population (30-34),count
GR-countind7P,2001 Census Day Population,Total Population (30-34),count
GR-countind8F,2001 Census Day Population,Total Female Population (35-39),count
GR-countind8M,2001 Census Day Population,Total Male Population (35-39),count
GR-countind8P,2001 Census Day Population,Total Population (35-39),count
GR-countind9F,2001 Census Day Population,Total Female Population (40-44),count
GR-countind9M,2001 Census Day Population,Total Male Population (40-44),count
GR-countind9P,2001 Census Day Population,Total Population (40-44),count
GR-denominatorindF,2001 Census Day Population,Total Female Population (all ages),count
GR-denominatorindM,2001 Census Day Population,Total Male Population (all ages),count
GR-denominatorindP,2001 Census Day Population,Total Population (all ages),count
GR-femalele,Female Life Expectancy at Birth,Female LE,count
GR-hischildperc,SAPE Child Population %,SAPE Population - Children Percentage,ratio
GR-hisfemchildperc,SAPE Child Females %,SAPE Population - Female Children Percentage,ratio
GR-hisfempensperc,SAPE Pensionable Females %,SAPE Population - Pensionable Age Females Percentage,ratio
GR-hisfemworkperc,SAPE Working Females %,SAPE Population - Working Age Females Percentage,ratio
GR-hismalchildperc,SAPE Child Males %,SAPE Population - Male Children Percentage,ratio
GR-hismalpensperc,SAPE Pensionable Males %,SAPE Population - Pensionable Age Males Percentage,ratio
GR-hismalworkperc,SAPE Working Males %,SAPE Population - Working Age Males Percentage,ratio
GR-hispensperc,SAPE Pensionable Population %,SAPE Population - Pensionable Age Percentage,ratio
GR-hisworkperc,SAPE Working Population %,SAPE Population - Working Age Percentage,ratio
GR-hschild,SAPE Child Population,SAPE Population - Children,count
GR-hsfem,SAPE All Females,SAPE All Females,count
GR-hsfem0,SAPE Females &lt; 1,SAPE Females &lt; 1,count
GR-hsfem1_4,SAPE Females 1-4,SAPE Females 1-4,count
GR-hsfem10_12,SAPE Females 10-12,SAPE Females 10-12,count
GR-hsfem13_14,SAPE Females 13-14,SAPE Females 13-14,count
GR-hsfem15,SAPE Females 15,SAPE Females 15,count
GR-hsfem1619,SAPE Females 16-19,SAPE Females 16-19,count
GR-hsfem2024,SAPE Females 20-24,SAPE Females 20-24,count
GR-hsfem2529,SAPE Females 25-29,SAPE Females 25-29,count
GR-hsfem3034,SAPE Females 30-34,SAPE Females 30-34,count
GR-hsfem3539,SAPE Females 35-39,SAPE Females 35-39,count
GR-hsfem4044,SAPE Females 40-44,SAPE Females 40-44,count
GR-hsfem4549,SAPE Females 45-49,SAPE Females 45-49,count
GR-hsfem5_9,SAPE Females 5-9,SAPE Females 5-9,count
GR-hsfem5054,SAPE Females 50-54,SAPE Females 50-54,count
GR-hsfem5559,SAPE Females 55-59,SAPE Females 55-59,count
GR-hsfem6064,SAPE Females 60-64,SAPE Females 60-64,count
GR-hsfem6569,SAPE Females 65-69,SAPE Females 65-69,count
GR-hsfem7074,SAPE Females 70-74,SAPE Females 70-74,count
GR-hsfem7579,SAPE Females 75-79,SAPE Females 75-79,count
GR-hsfem8084,SAPE Females 80-84,SAPE Females 80-84,count
GR-hsfem85over,SAPE Females 85 &amp; over,SAPE Females 85 &amp; over,count
GR-hsfemchild,SAPE Child Females,SAPE Population - Female Children,count
GR-hsfempens,SAPE Pensionable Females,SAPE Population - Pensionable Age Females,count
GR-hsfemwork,SAPE Working Females,SAPE Population - Working Age Females,count
GR-hsmal,SAPE All Males,SAPE All Males,count
GR-hsmal0,SAPE Males &lt; 1,SAPE Males &lt; 1,count
GR-hsmal1_4,SAPE Males 1-4,SAPE Males 1-4,count
GR-hsmal10_12,SAPE Males 10-12,SAPE Males 10-12,count
GR-hsmal13_14,SAPE Males 13-14,SAPE Males 13-14,count
GR-hsmal15,SAPE Males 15,SAPE Males 15,count
GR-hsmal1619,SAPE Males 16-19,SAPE Males 16-19,count
GR-hsmal2024,SAPE Males 20-24,SAPE Males 20-24,count
GR-hsmal2529,SAPE Males 25-29,SAPE Males 25-29,count
GR-hsmal3034,SAPE Males 30-34,SAPE Males 30-34,count
GR-hsmal3539,SAPE Males 35-39,SAPE Males 35-39,count
GR-hsmal4044,SAPE Males 40-44,SAPE Males 40-44,count
GR-hsmal4549,SAPE Males 45-49,SAPE Males 45-49,count
GR-hsmal5_9,SAPE Males 5-9,SAPE Males 5-9,count
GR-hsmal5054,SAPE Males 50-54,SAPE Males 50-54,count
GR-hsmal5559,SAPE Males 55-59,SAPE Males 55-59,count
GR-hsmal6064,SAPE Males 60-64,SAPE Males 60-64,count
GR-hsmal6569,SAPE Males 65-69,SAPE Males 65-69,count
GR-hsmal7074,SAPE Males 70-74,SAPE Males 70-74,count
GR-hsmal7579,SAPE Males 75-79,SAPE Males 75-79,count
GR-hsmal8084,SAPE Males 80-84,SAPE Males 80-84,count
GR-hsmal85over,SAPE Males 85 &amp; over,SAPE Males 85 &amp; over,count
GR-hsmalchild,SAPE Child Males,SAPE Population - Male Children,count
GR-hsmalpens,SAPE Pensionable Males,SAPE Population - Pensionable Age Males,count
GR-hsmalwork,SAPE Working Males,SAPE Population - Working Age Males,count
GR-hspens,SAPE Pensionable Population,SAPE Population - Pensionable Age,count
GR-hspeop,SAPE All Persons,SAPE All Persons,count
GR-hspeop0,SAPE Persons &lt; 1,SAPE Persons &lt; 1,count
GR-hspeop1_4,SAPE Persons 1-4,SAPE Persons 1-4,count
GR-hspeop10_12,SAPE Persons 10-12,SAPE Persons 10-12,count
GR-hspeop13_14,SAPE Persons 13-14,SAPE Persons 13-14,count
GR-hspeop15,SAPE Persons 15,SAPE Persons 15,count
GR-hspeop1619,SAPE Persons 16-19,SAPE Persons 16-19,count
GR-hspeop2024,SAPE Persons 20-24,SAPE Persons 20-24,count
GR-hspeop2529,SAPE Persons 25-29,SAPE Persons 25-29,count
GR-hspeop3034,SAPE Persons 30-34,SAPE Persons 30-34,count
GR-hspeop3539,SAPE Persons 35-39,SAPE Persons 35-39,count
GR-hspeop4044,SAPE Persons 40-44,SAPE Persons 40-44,count
GR-hspeop4549,SAPE Persons 45-49,SAPE Persons 45-49,count
GR-hspeop5_9,SAPE Persons 5-9,SAPE Persons 5-9,count
GR-hspeop5054,SAPE Persons 50-54,SAPE Persons 50-54,count
GR-hspeop5559,SAPE Persons 55-59,SAPE Persons 55-59,count
GR-hspeop6064,SAPE Persons 60-64,SAPE Persons 60-64,count
GR-hspeop6569,SAPE Persons 65-69,SAPE Persons 65-69,count
GR-hspeop7074,SAPE Persons 70-74,SAPE Persons 70-74,count
GR-hspeop7579,SAPE Persons 75-79,SAPE Persons 75-79,count
GR-hspeop8084,SAPE Persons 80-84,SAPE Persons 80-84,count
GR-hspeop85over,SAPE Persons 85 &amp; over,SAPE Persons 85 &amp; over,count
GR-hswork,SAPE Working Population,SAPE Population - Working Age,count
GR-malele,Male Life Expectancy at Birth,Male LE,count
GR-Percchild,2001 Census Day Population - Percentage Children,Percentage Children,ratio
GR-percchildf,2001 Census Day Population,Percentage Female Children,ratio
GR-percchildm,2001 Census Day Population,Percentage Male Children,ratio
GR-Percpens,2001 Census Day Population - Percentage Pensioners,Percentage Pensioners,ratio
GR-Percpensf,2001 Census Day Population,Percentage Female Pensioners,ratio
GR-Percpensm,2001 Census Day Population,Percentage Male Pensioners,ratio
GR-Percwork,2001 Census Day Population - Percentage Working Age,Percentage Working Age,ratio
GR-Percworkf,2001 Census Day Population,Percentage Female Working Age,ratio
GR-Percworkm,2001 Census Day Population,Percentage Male Working Age,ratio
GR-sapechild,Total Population - Children,Total Population - Children,count
GR-sapechildold,Dependency Ratio (%),Dependency Ratio (%),ratio
GR-sapechildoldfem,Female Dependency Ratio (%),Female Dependency Ratio (%),ratio
GR-sapechildoldmal,Male Dependency Ratio (%),Male Dependency Ratio (%),ratio
GR-sapechildperc,Total Population - Children (%),Total Population - Children (%),ratio
GR-sapefem,Female Population,Female Population,count
GR-sapefem04,Female Population Aged 0-4,Female Population Aged 0-4,count
GR-sapefem1015,Female Population Aged 10-15,Female Population Aged 10-15,count
GR-sapefem1619,Female Population Aged 16-19,Female Population Aged 16-19,count
GR-sapefem2024,Female Population Aged 20-24,Female Population Aged 20-24,count
GR-sapefem2529,Female Population Aged 25-29,Female Population Aged 25-29,count
GR-sapefem3034,Female Population Aged 30-34,Female Population Aged 30-34,count
GR-sapefem3539,Female Population Aged 35-39,Female Population Aged 35-39,count
GR-sapefem4044,Female Population Aged 40-44,Female Population Aged 40-44,count
GR-sapefem4549,Female Population Aged 45-49,Female Population Aged 45-49,count
GR-sapefem5054,Female Population Aged 50-54,Female Population Aged 50-54,count
GR-sapefem5559,Female Population Aged 55-59,Female Population Aged 55-59,count
GR-sapefem59,Female Population Aged 5-9,Female Population Aged 5-9,count
GR-sapefem6064,Female Population Aged 60-64,Female Population Aged 60-64,count
GR-sapefem6569,Female Population Aged 65-69,Female Population Aged 65-69,count
GR-sapefem7074,Female Population Aged 70-74,Female Population Aged 70-74,count
GR-sapefem7579,Female Population Aged 75-79,Female Population Aged 75-79,count
GR-sapefem8084,Female Population Aged 80-84,Female Population Aged 80-84,count
GR-sapefem8589,Female Population Aged 85-89,Female Population Aged 85-89,count
GR-sapefem90over,Female Population Aged 90 and over,Female Population Aged 90 and over,count
GR-sapefemchild,Female Population - Children,Female Population - Children,count
GR-sapefemchildperc,Female Population - Children (%),Female Population - Children (%),ratio
GR-sapefempens,Female Population - Pensionable Age,Female Population - Pensionable Age,count
GR-sapefempensperc,Female Population - Pensionable Age (%),Female Population - Pensionable Age (%),ratio
GR-sapefemwork,Female Population - Working Age,Female Population - Working Age,count
GR-sapefemworkperc,Female Population - Working Age (%),Female Population - Working Age (%),ratio
GR-sapemal,Male Population,Male Population,count
GR-sapemal04,Male Population Aged 0-4,Male Population Aged 0-4,count
GR-sapemal1015,Male Population Aged 10-15,Male Population Aged 10-15,count
GR-sapemal1619,Male Population Aged 16-19,Male Population Aged 16-19,count
GR-sapemal2024,Male Population Aged 20-24,Male Population Aged 20-24,count
GR-sapemal2529,Male Population Aged 25-29,Male Population Aged 25-29,count
GR-sapemal3034,Male Population Aged 30-34,Male Population Aged 30-34,count
GR-sapemal3539,Male Population Aged 35-39,Male Population Aged 35-39,count
GR-sapemal4044,Male Population Aged 40-44,Male Population Aged 40-44,count
GR-sapemal4549,Male Population Aged 45-49,Male Population Aged 45-49,count
GR-sapemal5054,Male Population Aged 50-54,Male Population Aged 50-54,count
GR-sapemal5559,Male Population Aged 55-59,Male Population Aged 55-59,count
GR-sapemal59,Male Population Aged 5-9,Male Population Aged 5-9,count
GR-sapemal6064,Male Population Aged 60-64,Male Population Aged 60-64,count
GR-sapemal6569,Male Population Aged 65-69,Male Population Aged 65-69,count
GR-sapemal7074,Male Population Aged 70-74,Male Population Aged 70-74,count
GR-sapemal7579,Male Population Aged 75-79,Male Population Aged 75-79,count
GR-sapemal8084,Male Population Aged 80-84,Male Population Aged 80-84,count
GR-sapemal8589,Male Population Aged 85-89,Male Population Aged 85-89,count
GR-sapemal90over,Male Population Aged 90 and over,Male Population Aged 90 and over,count
GR-sapemalchild,Male Population - Children,Male Population - Children,count
GR-sapemalchildperc,Male Population - Children (%),Male Population - Children (%),ratio
GR-sapemalpens,Male Population - Pensionable Age,Male Population - Pensionable Age,count
GR-sapemalpensperc,Male Population - Pensionable Age (%),Male Population - Pensionable Age (%),ratio
GR-sapemalwork,Male Population - Working Age,Male Population - Working Age,count
GR-sapemalworkperc,Male Population - Working Age (%),Male Population - Working Age (%),ratio
GR-sapepens,Total Population - Pensionable Age,Total Population - Pensionable Age,count
GR-sapepensperc,Total Population - Pensionable Age (%),Total Population - Pensionable Age (%),ratio
GR-sapepeop,Total Population,Total Population,count
GR-sapepeop04,Total Population Aged 0-4,Total Population Aged 0-4,count
GR-sapepeop1015,Total Population Aged 10-15,Total Population Aged 10-15,count
GR-sapepeop1619,Total Population Aged 16-19,Total Population Aged 16-19,count
GR-sapepeop2024,Total Population Aged 20-24,Total Population Aged 20-24,count
GR-sapepeop2529,Total Population Aged 25-29,Total Population Aged 25-29,count
GR-sapepeop3034,Total Population Aged 30-34,Total Population Aged 30-34,count
GR-sapepeop3539,Total Population Aged 35-39,Total Population Aged 35-39,count
GR-sapepeop4044,Total Population Aged 40-44,Total Population Aged 40-44,count
GR-sapepeop4549,Total Population Aged 45-49,Total Population Aged 45-49,count
GR-sapepeop5054,Total Population Aged 50-54,Total Population Aged 50-54,count
GR-sapepeop5559,Total Population Aged 55-59,Total Population Aged 55-59,count
GR-sapepeop59,Total Population Aged 5-9,Total Population Aged 5-9,count
GR-sapepeop6064,Total Population Aged 60-64,Total Population Aged 60-64,count
GR-sapepeop6569,Total Population Aged 65-69,Total Population Aged 65-69,count
GR-sapepeop7074,Total Population Aged 70-74,Total Population Aged 70-74,count
GR-sapepeop7579,Total Population Aged 75-79,Total Population Aged 75-79,count
GR-sapepeop8084,Total Population Aged 80-84,Total Population Aged 80-84,count
GR-sapepeop8589,Total Population Aged 85-89,Total Population Aged 85-89,count
GR-sapepeop90over,Total Population Aged 90 and over,Total Population Aged 90 and over,count
GR-sapework,Total Population - Working Age,Total Population - Working Age,count
GR-sapeworkperc,Total Population - Working Age (%),Total Population - Working Age (%),ratio
HO-aband_pcevcases,Abandonments by LA tenants as percentage of eviction cases,Abandonment by LA tenant as % of eviction cases,ratio
HO-abandon_evcases,Number of eviction cases resulting in the LA tenant abandoning the property,No. abandonments in LA eviction cases,count
HO-AHIP_LANB,Affordable housing completions (AHIP funded and LA new build),Affordable Housing completions (AHIP & LA NB),count
HO-All_evict_cases,Number of eviction cases against local authority tenants proceeding to court,All LA tenant eviction cases,count
HO-All_NB,All sectors new build housing completions,All NB completions,count
HO-All_NBst,All sectors new build housing starts,All NB starts,count
HO-ALLHMLSS,Number of cases assessed as homeless or potentially homeless,All homeless cases,count
HO-allhouseholds,Total Number of Households,All households,count
HO-allpeople,Total Number of People,All people,count
HO-allspaces,Total Number of Household Spaces,Total Spaces,count
HO-alltenantsale,Number of sales of all dwelling types to sitting tenants,Sales to sitting tenants,count
HO-AttachUnknown,Number of Dwellings with attachment unknown,Unknown attachment,count
HO-Band_A_dwellings,Council Tax band A dwellings,Band A dwellings,count
HO-Band_B_dwellings,Council Tax band B dwellings,Band B dwellings,count
HO-Band_C_dwellings,Council Tax band C dwellings,Band C dwellings,count
HO-Band_D_dwellings,Council Tax band D dwellings,Band D dwellings,count
HO-Band_E_dwellings,Council Tax band E dwellings,Band E dwellings,count
HO-Band_F_dwellings,Council Tax band F dwellings,Band F dwellings,count
HO-Band_G_dwellings,Council Tax band G dwellings,Band G dwellings,count
HO-Band_H_dwellings,Council Tax band H dwellings,Band H dwellings,count
HO-council,Total Number of Households - Rented from Council,Council Rented,count
HO-councilpeop,Total Number of People - Rented from Council,Council Rented,count
HO-demol_pcVacant,percentage of all vacant LA dwellings that are awaiting demolition,Vacant LA dwellings: % awaiting demol.,ratio
HO-Detached,Number of Detached Dwellings,Detached Dwellings,count
HO-Dwellings,Total number of dwellings,Total no. dwellings,count
HO-Dwellperhectare,Total number of dwellings per hectare,Total no. dwellings/hectare,ratio
HO-employ,Total Number of Households - Employer,Rented from Employer,count
HO-employpeop,Total Number of People - Employer,Rented from Employer,count
HO-evict_pccases,Number of LA tenants evicted as percentage of cases raised in same year,Evictions of LA tenants as % of cases,ratio
HO-Evictions,Number of cases resulting in the LA tenant being evicted,No. evictions of LA tenants,count
HO-evictorab_pccase,Both abandonments and evictions as percentage of eviction cases against LA tenants,Abandonment&amp;eviction as % of LA tenant eviction cases,ratio
HO-evictorabandon,Number of eviction cases resulting in termination of the tenancy through both eviction and abandonment,No. abandonments&amp;evictions in LA eviction cases,count
HO-Flat,"Number of Flats, maisonettes and apartments",Flats,count
HO-Flattenantsale,Number of sales of flats to sitting tenants,Flat sales to sitting tenants,count
HO-HMOcount,Number of HMO licences in force at 31st march,HMOs in force,count
HO-holiday,Number of Household Spaces - Holiday,Holiday Spaces,count
HO-Housetenantsale,Number of sales of houses to sitting tenants,House sales to sitting tenants,count
HO-hpricelquartile,"House sales, lower quartile price","House sales, lower quartile price",lower quartile
HO-hpricemean,"House sales, mean price","House sales, mean price",mean
HO-hpricemedian,"House sales, median price","House sales, median price",median
HO-hpriceuquartile,"House sales, upper quartile","House sales, upper quartile",upper quartile
HO-hsalesno,"House sales, numbers","House sales, numbers",count
HO-LA_NB,Local Authority owned (council house) new build completions,LA NB completions,count
HO-LA_NBst,Local Authority owned (council house) new build starts,LA NB starts,count
HO-LA_pcFlats,Percentage of local authority dwellings which are flats,LA dwellings: % flats,ratio
HO-La_pcHouses,Percentage of local authority dwellings which are houses,LA dwellings: % houses,ratio
HO-LAdwellings,Total number of Local Authority owned dwellings,All LA dwellings,count
HO-LAflats,Number of local authority dwellings which are flats,LA owned flats,count
HO-LAhmless_lets,Number of lettings made by local authority to applicants applying as homeless,Homeless LA lettings,count
HO-LAhouses,Number of local authority dwellings which are houses,LA owned houses,count
HO-LAlets,Number of permanent lettings made by local authority to those on housing register,All LA lettings,count
HO-LAnewlets,Number of lettings made by local authority to new tenants,New LA lettings,count
HO-LApc_NB,Local Authority owned (council house) new build as % completions,LA NB % completions,ratio
HO-let_pcStock,Percentage of local authority dwellings in the normal letting stock,LA dwellings: % letting stock,ratio
HO-let_pcVacant,Percentage of all vacant LA dwellings that are normal letting stock (management voids),Vacant LA dwellings: % letting stock,ratio
HO-letstock,Number of local authority dwellings in the normal letting stock,LA letting stock,count
HO-low_pcVacant,percentage of all vacant LA dwellings that are in an area of identified low demand,Vacant LA dwellings: % in low demand area,ratio
HO-Medianrooms,Median number of rooms,Median number of rooms,median
HO-mod_pcVacant,percentage of all vacant LA dwellings that are in a modernisation scheme,Vacant LA dwellings: % to modernise,ratio
HO-NewHouseBuild,"Rate of new house building (new housing supply through new build, conversion and refurbishment)",New housing supply (rate of new house building),count
HO-occupied,Total Number of Occupied Household Spaces,Occupied Spaces,count
HO-other,Total Number of Households - Other,Other,count
HO-other_pcStock,Percentage of local authority dwellings not used for permanent or temporary lettings,Other' LA dwellings: not for letting or temp. accom.,ratio
HO-otherpeop,Total Number of People - Other,Other,count
HO-otherstock,"Number of local authority dwellings not used for permanent or temporary lettings (e.g. to be demolished or modernised, low demand)",LA dwellings: % 'Other' (not for letting or temp. accom.),count
HO-ownmortloan,Total Number of Housheolds - Owned with a Mortgage/Loan,Owned Mortgage/Loan,count
HO-ownmortpeop,Total Number of People - Owned with a Mortgage/Loan,Owned Mortgage/Loan,count
HO-ownoutpeop,Total Number of People - Owned Outright,Owned Outright,count
HO-ownoutright,Total Number of Households - Owned Outright,Owned Outright,count
HO-pcHmlessLAlets,Proportion of local authority lets made to applicants applying as homeless,Homeless as % LA lettings,ratio
HO-pcnewLAlets,Proportion of local authority lets made to new tenants,New as % LA lettings,ratio
HO-Per_Occ_dwells,Percentage of dwellings which are occupied,% dwellings which are occupied,ratio
HO-Per_Occ_exempt,Percentage of dwellings which are occupied but exempt from Council Tax,% dwellings with 'occupied exemptions',ratio
HO-Per_Second_homes,Percentage of dwellings which are second homes,% dwellings which are second homes,ratio
HO-Per_Single_adult,Percentage of dwellings which contain a single adult discount,% dwellings with single adult discounts,ratio
HO-Per_Vacantdwells,Percentage of dwellings which are vacant,% dwellings which are vacant,ratio
HO-perbandA,Percentage of dwellings in Council Tax band A,% dwellings in band A,ratio
HO-perbandAC,Percentage of dwellings in Council Tax bands A to C,% dwellings in bands A-C,ratio
HO-PerbandDE,Percentage of dwellings in Council Tax bands D to E,% dwellings in bands D-E,ratio
HO-perbandFH,Percentage of dwellings in Council Tax bands F to H,% dwellings in bands F-H,ratio
HO-percholiday,Percentage of Household Spaces - Holiday,% of Total Spaces - Holiday,ratio
HO-percown,Percentage of Households - Owned,% of Households - Owned,ratio
HO-percownpeop,Percentage of People - Owned,% of People - Owned,ratio
HO-percpriv,Percentage of Households - Private Rented,% of Households - Private,ratio
HO-percprivpeop,Percentage of People - Private Rented,% of People - Private,ratio
HO-percsocial,Percentage of Households - Social Rented,% of Households - Social Rented,ratio
HO-percsocialpeop,Percentage of People - Social Rented,% of People - Social Rented,ratio
HO-percvacant,Percentage of Household Spaces - Vacant,% of Total Spaces - Vacant,ratio
HO-PerDetached,Percentage of dwellings which are detached,% dwellings which are detached,ratio
HO-PerFlat,Percentage of dwellings which are flats,% dwellings which are flats,ratio
HO-PerRooms10,Percentage of dwellings with 10 or more rooms,% dwellings with 10+ rooms,ratio
HO-PerRooms1to3,Percentage of dwellings with 1 to 3 rooms,% dwellings with 1-3 rooms,ratio
HO-PerRooms4to6,Percentage of dwellings with 4 to 6 rooms,% dwellings with 4-6 rooms,ratio
HO-PerRooms7to9,Percentage of dwellings with 7 to 9 rooms,% dwellings with 7-9 rooms,ratio
HO-PerRoomsNotKnown,Percentage of dwellings with number of rooms unknown,% dwellings with no. rooms unknown,ratio
HO-PerSemidetached,Percentage of dwellings which are semi-detached,% dwellings which semi-detached,ratio
HO-PerTerraced,Percentage of dwellings which are terraced,% dwellings which are terraced,ratio
HO-PerTypeNotKnown,Percentage of dwellings with nature of attachment unknown.,% dwellings attachment unknown,ratio
HO-PRIHMLSS,Number of cases assessed as homeless or potentially homeless and in priority need,All priority homeless,count
HO-PRIORITY_1617,The percentage of homeless households assessed as priority homeless where the main applicant was aged 16-17 years,Homeless priority % where applicant was aged 16-17 years,ratio
HO-PRIORITY_1825,The percentage of homeless households assessed as priority homeless where the main applicant was aged 18-25 years,Homeless priority % where applicant was aged 18-25 years,ratio
HO-PRIORITY_2659,The percentage of homeless households assessed as priority homeless where the main applicant was aged 26-59 years,Homeless priority % where applicant was aged 26-59 years,ratio
HO-PRIORITY_60PLUS,The percentage of homeless households assessed as priority homeless where the main applicant was aged 60+ years,Homeless priority % where applicant was aged 60+ years,ratio
HO-PRIORITY_ASIAN,"The percentage of homeless households assessed as priority homeless where the main applicant's ethnicity is Asian, Asian Scottish or Asian British","Homeless priority % where applicant's ethnicity is Asian, Asian Scottish or Asian British",ratio
HO-PRIORITY_BLACK,"The percentage of homeless households assessed as priority homeless where the main applicant's ethnicity is black, black Scottish or black British","Homeless priority % where applicant's ethnicity is black, black Scottish or black British",ratio
HO-PRIORITY_FEM,The percentage of homeless households assessed as priority homeless where the main applicant is female,Homeless priority % where applicant is female,ratio
HO-PRIORITY_HMLSS,The percentage of homeless households assessed as priority homeless,Homeless priority %,ratio
HO-PRIORITY_MALE,The percentage of homeless households assessed as priority homeless where the main applicant is male,Homeless priority % where applicant is male,ratio
HO-PRIORITY_MIXED,The percentage of homeless households assessed as priority homeless where the main applicant's ethnicity is mixed,Homeless priority % where applicant's ethnicity is mixed,ratio
HO-PRIORITY_OTHER,The percentage of homeless households assessed as priority homeless where the main applicant's ethnicity is 'other',Homeless priority % where applicant's ethnicity is 'other',ratio
HO-PRIORITY_REF,The percentage of homeless households assessed as priority homeless where the main applicant's ethnicity was refused,Homeless priority % where applicant's ethnicity was refused,ratio
HO-PRIORITY_UNK,The percentage of homeless households assessed as priority homeless where the main applicant's ethnicity is 'not known',Homeless priority % where applicant's ethnicity is 'not known',ratio
HO-PRIORITY_WHITE,The percentage of homeless households assessed as priority homeless where the main applicant's ethnicity is white,Homeless priority % where applicant's ethnicity is white,ratio
HO-priv_NB,Privately built new build housing completions,Private NB completions,count
HO-priv_NBst,Privately built new build housing starts,Private NB starts,count
HO-privlet,Total Number of Households - Private Letting Agency,Private Let,count
HO-privletpeop,Total Number of People - Private Letting Agency,Private Let,count
HO-privpc_NB,Privately built new build housing as % completions,Private NB % completions,ratio
HO-refurbs,Dwellings added to housing supply through refurbishment,Refurbishments,count
HO-relative,Total Number of Households - Relative/Friend,Rented from Relative,count
HO-relativepeop,Total Number of People - Relative/Friend,Rented from Relative,count
HO-Rooms1,Number of Dwellings with 1 room,1 room Dwellings,count
HO-Rooms2,Number of Dwellings with 2 rooms,2 room Dwellings,count
HO-Rooms3,Number of Dwellings with 3 rooms,3 room Dwellings,count
HO-Rooms4,Number of Dwellings with 4 rooms,4 room Dwellings,count
HO-Rooms5,Number of Dwellings with 5 rooms,5 room Dwellings,count
HO-Rooms6,Number of Dwellings with 6 rooms,6 room Dwellings,count
HO-Rooms7,Number of Dwellings with 7 rooms,7 room Dwellings,count
HO-Rooms8,Number of Dwellings with 8 rooms,8 room Dwellings,count
HO-Rooms9,Number of Dwellings with 9 rooms,9 room Dwellings,count
HO-roomsge10,Number of Dwellings with 10 or more rooms,10+ room Dwellings,count
HO-RoomsUnknown,Number of Dwellings with unknown number of rooms,Unknown number of rooms,count
HO-RSL_NB,Registered Social Landlord (housing association) new build completions,RSL NB completions,count
HO-RSL_NBst,Registered Social Landlord (housing association) new build starts,RSL NB starts,count
HO-RSLpc_NB,Registered Social Landlord (housing association) new build completions as % of all new build,RSL NB as % completions,ratio
HO-Semidetached,Number of Semi-detached Dwellings,Semi-detached Dwellings,count
HO-sharedown,Total Number of Households - Shared Ownership,Shared Ownership,count
HO-sharedownpeop,Total Number of People - Shared Ownership,Shared Ownership,count
HO-SHCSFuelPov,Percentage of households in Fuel Poverty,% of households in Fuel Poverty,count
HO-SHCSFuelPov60pls,Percentage of households in Fuel Poverty - Highest Income Householder 60 plus,% of households in Fuel Poverty - HIH 60+,count
HO-SHCSFuelPovDisab,Percentage of households in Fuel Poverty - No disability or long term sick,% of households in Fuel Poverty - No disability or long term sick,count
HO-SHCSFuelPovFemal,Percentage of households in Fuel Poverty - Female Highest Income Householder,% of households in Fuel Poverty - Female HIH,count
HO-SHCSFuelPovles60,Percentage of households in Fuel Poverty - Highest Income Householder under 60,% of households in Fuel Poverty - HIH under 60,count
HO-SHCSFuelPovMale,Percentage of households in Fuel Poverty - Male Highest Income Householder,% of households in Fuel Poverty - Male HIH,count
HO-SHCSFuelPovNoDis,Percentage of households in Fuel Poverty - Housholder with disability or long term sick,% of households in Fuel Poverty - Any disability or long term sick,count
HO-SHCSgoodhome,Percentage of adults rating the condition of their house/flat as good,% adults rating the condition of their house/flat as good,count
HO-SHCSgoodhomeDis,Percentage of adults rating the condition of their house/flat as good  - No disability or long term sick,% adults rating the condition of their house/flat as good - No disability or long term sick,count
HO-SHCSgoodhomeFem,Percentage of adults rating the condition of their house/flat as good  - Female Highest Income Householder,% adults rating the condition of their house/flat as good  - Female HIH,count
HO-SHCSgoodhomegt60,Percentage of adults rating the condition of their house/flat as good  - Highest Income Householder 60 plus,% adults rating the condition of their house/flat as good - HIH 60+,count
HO-SHCSgoodhomelt60,Percentage of adults rating the condition of their house/flat as good - Highest Income Householder under 60,% adults rating the condition of their house/flat as good - HIH under 60,count
